n_stores,generation,generation_avg_fit
20,0,2380.339111
20,1,2407.041748
20,2,2427.224609
20,3,2413.274902
20,4,2456.879395
20,5,2470.131592
20,6,2455.078613
20,7,2422.756348
20,8,2470.880127
20,9,2484.726074
20,10,2479.253906
20,11,2491.366699
20,12,2480.158936
20,13,2498.019531
20,14,2476.105713
20,15,2514.562744
20,16,2488.548096
20,17,2492.998047
20,18,2490.741943
20,19,2507.18457
20,20,2510.364502
20,21,2519.248291
20,22,2534.146484
20,23,2541.249023
20,24,2529.062744
20,25,2499.347168
20,26,2501.111816
20,27,2512.028809
20,28,2532.662354
20,29,2530.561035
20,30,2548.564697
20,31,2553.165527
20,32,2513.692139
20,33,2548.680908
20,34,2545.745605
20,35,2535.904785
20,36,2540.798096
20,37,2557.880859
20,38,2566.884766
20,39,2578.290771
20,40,2558.619141
20,41,2594.576904
20,42,2595.052979
20,43,2616.660156
20,44,2602.492432
20,45,2604.437256
20,46,2610.454834
20,47,2641.712646
20,48,2603.05835
20,49,2586.414795
23,0,2593.388184
23,1,2595.816162
23,2,2611.050537
23,3,2637.601318
23,4,2613.812012
23,5,2624.451416
23,6,2630.383789
23,7,2620.699707
23,8,2630.247803
23,9,2647.466309
23,10,2660.083496
23,11,2663.669434
23,12,2639.050049
23,13,2644.330566
23,14,2668.29541
23,15,2649.988037
23,16,2659.366943
23,17,2657.192383
23,18,2695.234863
23,19,2693.272705
23,20,2673.636963
23,21,2654.998291
23,22,2702.203369
23,23,2682.511719
23,24,2677.101807
23,25,2689.494141
23,26,2621.276855
23,27,2653.678467
23,28,2663.848389
23,29,2686.693848
23,30,2684.700928
23,31,2699.130615
23,32,2711.553223
23,33,2721.696289
23,34,2726.671875
23,35,2731.056641
23,36,2765.432861
23,37,2751.238525
23,38,2740.676025
23,39,2749.077637
23,40,2738.695801
23,41,2743.661133
23,42,2762.291748
23,43,2749.292969
23,44,2751.765381
23,45,2760.822754
23,46,2755.320557
23,47,2768.294189
23,48,2772.958496
23,49,2801.063721
26,0,2742.814209
26,1,2752.876709
26,2,2779.519287
26,3,2763.998047
26,4,2768.714111
26,5,2767.100586
26,6,2781.121094
26,7,2801.753174
26,8,2791.44873
26,9,2772.459473
26,10,2798.535645
26,11,2806.742188
26,12,2771.827637
26,13,2753.98291
26,14,2786.47168
26,15,2790.676514
26,16,2787.713623
26,17,2784.103516
26,18,2802.568359
26,19,2816.273193
26,20,2820.152344
26,21,2821.597412
26,22,2844.531494
26,23,2826.143799
26,24,2849.67334
26,25,2842.740479
26,26,2846.946533
26,27,2857.008545
26,28,2848.346191
26,29,2847.338623
26,30,2829.771973
26,31,2850.11377
26,32,2837.549805
26,33,2842.003174
26,34,2859.922363
26,35,2864.185791
26,36,2872.887939
26,37,2902.400146
26,38,2881.427246
26,39,2891.887695
26,40,2891.507568
26,41,2889.973633
26,42,2894.960693
26,43,2878.725342
26,44,2874.333496
26,45,2881.006348
26,46,2917.183105
26,47,2936.850342
26,48,2900.41748
26,49,2903.361084
29,0,2896.216309
29,1,2913.951172
29,2,2920.51416
29,3,2939.907959
29,4,2919.78125
29,5,2932.291992
29,6,2881.966309
29,7,2885.184082
29,8,2916.95874
29,9,2926.898926
29,10,2915.32666
29,11,2944.086914
29,12,2913.280762
29,13,2933.636719
29,14,2950.448975
29,15,2938.108398
29,16,2950.966553
29,17,2936.184082
29,18,2982.755127
29,19,2989.538574
29,20,2965.400146
29,21,2974.93042
29,22,2973.151367
29,23,2962.50415
29,24,2998.631348
29,25,2981.288574
29,26,2962.202393
29,27,2972.781738
29,28,2965.960449
29,29,2973.871826
29,30,2997.757568
29,31,2994.570557
29,32,2966.234619
29,33,2983.0979
29,34,3019.686035
29,35,3014.68335
29,36,3034.411377
29,37,3009.39502
29,38,2999.37207
29,39,3018.450684
29,40,3009.922119
29,41,2990.071777
29,42,3002.162109
29,43,3024.795166
29,44,3044.050537
29,45,3031.866211
29,46,3053.514648
29,47,3052.228516
29,48,3059.909668
29,49,3052.693359
32,0,3013.184814
32,1,3002.146973
32,2,3022.039551
32,3,3004.070557
32,4,3005.483154
32,5,3011.006104
32,6,3058.573486
32,7,3050.409912
32,8,3066.022217
32,9,3045.956055
32,10,3060.360596
32,11,3054.156006
32,12,3064.432129
32,13,3073.545898
32,14,3097.991943
32,15,3099.061035
32,16,3111.39502
32,17,3110.51416
32,18,3108.640869
32,19,3110.031982
32,20,3117.997803
32,21,3134.670654
32,22,3125.02832
32,23,3116.5271
32,24,3132.474365
32,25,3139.31543
32,26,3110.526123
32,27,3092.952393
32,28,3120.421143
32,29,3104.858643
32,30,3100.433838
32,31,3122.36499
32,32,3104.823486
32,33,3092.776855
32,34,3134.669678
32,35,3123.099365
32,36,3101.55957
32,37,3093.083496
32,38,3122.958252
32,39,3136.401855
32,40,3138.397217
32,41,3146.281738
32,42,3135.99292
32,43,3124.889648
32,44,3146.868896
32,45,3159.841553
32,46,3164.081055
32,47,3173.408447
32,48,3175.350586
32,49,3147.247803
